cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
6,-1,12,2.7535765171051025,0.4589294195175171,0.3932435489641823,"[0.30926012992858887, 0.15777826309204102, 0.397813081741333, 0.16566205024719238, 0.4138529300689697, 1.3092100620269775]",2,5.441910266876221,0.9069850444793701,0.8351803514948212,"[0.1896519660949707, 0.8056352138519287, 2.6377792358398438, 1.1017639636993408, 0.26949095726013184, 0.4375889301300049]"
6,-1,14,4.5200276374816895,0.6457182339259556,0.18228169688228693,"[0.6857547760009766, 0.38978004455566406, 0.9497060775756836, 0.613854169845581, 0.44576382637023926, 0.8218529224395752, 0.6133158206939697]",2,4.938189744949341,0.8230316241582235,0.6685680675226898,"[0.32561516761779785, 1.9335708618164062, 1.0295770168304443, 0.07774209976196289, 0.23798489570617676, 1.3336997032165527]"
12,-1,16,5.54072904586792,0.69259113073349,0.49706537522068406,"[0.3334789276123047, 0.6617677211761475, 0.3819901943206787, 0.4692258834838867, 0.4379110336303711, 0.44518399238586426, 1.933563232421875, 0.877608060836792]",2,6.7431018352508545,0.9633002621786935,0.8236836750198677,"[0.4696948528289795, 0.7333528995513916, 0.5975379943847656, 2.7657299041748047, 1.4694242477416992, 0.5416889190673828, 0.16567301750183105]"
6,-1,10,5.028334140777588,1.0056668281555177,0.5015873731525423,"[0.4615471363067627, 0.8537969589233398, 1.6856930255889893, 1.5016319751739502, 0.5256650447845459]",2,1.7107150554656982,0.42767876386642456,0.1841345039274254,"[0.44580507278442383, 0.15784597396850586, 0.6776401996612549, 0.42942380905151367]"
6,-1,22,8.391132116317749,0.7628301923925226,0.3586668727026166,"[0.5097188949584961, 1.0296757221221924, 1.3896868228912354, 0.2695338726043701, 0.541801929473877, 1.0698258876800537, 1.0618891716003418, 0.43787407875061035, 0.8937678337097168, 0.9335298538208008, 0.2538280487060547]",2,4.0465192794799805,0.8093038558959961,0.695629831554521,"[0.26170897483825684, 0.33380913734436035, 0.15786004066467285, 1.8297901153564453, 1.4633510112762451]"
3,-1,10,6.9574878215789795,1.3914975643157959,0.976551451382572,"[2.365731716156006, 0.9352760314941406, 2.733536958694458, 0.6615052223205566, 0.26143789291381836]",2,2.4218356609344482,0.6054589152336121,0.15859324558645196,"[0.8214361667633057, 0.6057162284851074, 0.6209990978240967, 0.3736841678619385]"
0,-1,10,2.0757477283477783,0.41514954566955564,0.1793510540105776,"[0.27783870697021484, 0.3255422115325928, 0.3096017837524414, 0.7651529312133789, 0.3976120948791504]",2,1.59824800491333,0.3995620012283325,0.24939720398072424,"[0.26140594482421875, 0.22153425216674805, 0.8297097682952881, 0.2855980396270752]"
9,-1,22,7.223467826843262,0.6566788933493874,0.4152153762601797,"[0.7256760597229004, 0.8939099311828613, 1.429800271987915, 0.3018488883972168, 0.40570688247680664, 0.4458329677581787, 0.3653268814086914, 0.6378440856933594, 1.4538538455963135, 0.24582886695861816, 0.3178391456604004]",2,6.235630989074707,0.6928478876749674,0.429135869468676,"[0.4696798324584961, 0.2617759704589844, 0.18975114822387695, 1.3414769172668457, 0.5258479118347168, 0.3498711585998535, 0.8138039112091064, 0.8376932144165039, 1.4457309246063232]"
3,-1,16,3.7490265369415283,0.46862831711769104,0.14899940337135975,"[0.293597936630249, 0.5337200164794922, 0.3496818542480469, 0.6613969802856445, 0.6698689460754395, 0.5654499530792236, 0.39784669876098633, 0.2774641513824463]",2,1.9770939350128174,0.6590313116709391,0.2412604564534037,"[0.453808069229126, 0.9976990222930908, 0.5255868434906006]"
12,-1,14,5.662484169006348,0.8089263098580497,0.5079861178885673,"[0.47727394104003906, 0.3897552490234375, 0.15779495239257812, 1.0298020839691162, 1.805685043334961, 1.037795066833496, 0.7643778324127197]",2,9.548853874206543,1.1936067342758179,0.8457950621431829,"[0.5418260097503662, 0.8856830596923828, 1.2696588039398193, 1.4295661449432373, 1.1096408367156982, 0.27729010581970215, 0.8057239055633545, 3.2294650077819824]"
