cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
12,1,12,6.761593580245972,1.1269322633743286,0.9361070747518795,"[1.5811378955841064, 1.3015727996826172, 0.2778286933898926, 2.877465009689331, 0.18184518814086914, 0.5417439937591553]",10,5.700592994689941,1.1401185989379883,0.6585397301316324,"[0.82987380027771, 0.605828046798706, 0.40572309494018555, 1.9496660232543945, 1.9095020294189453]"
0,1,4,4.194990873336792,2.097495436668396,1.6998685598373413,"[0.3976268768310547, 3.7973639965057373]",10,3.931037187576294,1.310345729192098,1.3669540604388777,"[0.45349812507629395, 0.23803496360778809, 3.239504098892212]"
12,1,8,9.102110624313354,2.2755276560783386,0.2575113251919072,"[2.645535945892334, 2.3735311031341553, 1.9736247062683105, 2.1094188690185547]",10,3.5146548748016357,1.7573274374008179,0.5684036016464233,"[1.1889238357543945, 2.325731039047241]"
0,1,6,4.576169967651367,1.5253899892171223,1.4184555016078477,"[3.5175440311431885, 0.3255589008331299, 0.7330670356750488]",10,3.57926082611084,1.78963041305542,0.5840144157409668,"[1.2056159973144531, 2.3736448287963867]"
3,1,8,3.381761312484741,0.8454403281211853,0.29859122156605145,"[0.9490058422088623, 1.0693750381469727, 1.0296313762664795, 0.33374905586242676]",10,1.565845012664795,1.565845012664795,0.0,[1.565845012664795]
12,1,8,9.382375955581665,2.3455939888954163,1.190802218731103,"[3.6217129230499268, 1.0855810642242432, 3.4456470012664795, 1.2294349670410156]",10,5.428093910217285,1.085618782043457,0.38431291133735657,"[1.389543056488037, 1.3893811702728271, 1.0534536838531494, 0.3578617572784424, 1.237854242324829]"
6,1,6,5.552911758422852,1.8509705861409504,1.337842493951356,"[0.5578277111053467, 3.693606376647949, 1.3014776706695557]",10,6.646622180938721,1.6616555452346802,1.5370884980679098,"[0.8933730125427246, 0.5178549289703369, 4.309441089630127, 0.9259531497955322]"
3,1,6,3.0648159980773926,1.0216053326924641,0.8275691958735708,"[0.5017397403717041, 0.3734571933746338, 2.1896190643310547]",10,4.374691963195801,1.0936729907989502,0.7806190007204571,"[2.301260232925415, 1.1738669872283936, 0.7177150249481201, 0.18184971809387207]"
9,1,12,8.274190425872803,1.379031737645467,0.8451483836389396,"[2.9657578468322754, 1.4777631759643555, 1.005568027496338, 1.7256910800933838, 0.7976911067962646, 0.30171918869018555]",10,9.679694175720215,1.3828134536743164,0.787111886908312,"[1.773550271987915, 0.6296091079711914, 1.669672966003418, 0.10957074165344238, 1.8058862686157227, 1.0376598834991455, 2.65374493598938]"
6,1,18,7.372167348861694,0.8191297054290771,0.5670594686837162,"[0.4376108646392822, 1.597762107849121, 0.16573596000671387, 0.22988009452819824, 0.5578179359436035, 1.6617162227630615, 1.446031093597412, 0.8937821388244629, 0.38183093070983887]",10,8.415610074996948,1.2022300107138497,0.80125732150107,"[0.42159295082092285, 0.7973620891571045, 0.8217871189117432, 2.9175772666931152, 0.6698079109191895, 1.765763759613037, 1.021718978881836]"
12,1,8,11.35842514038086,2.839606285095215,1.2500428218963735,"[2.845444917678833, 4.269551038742065, 0.8617711067199707, 3.3816580772399902]",10,6.763782262802124,1.3527564525604248,0.9399056552150028,"[1.2052009105682373, 3.1656250953674316, 1.1413781642913818, 0.685805082321167, 0.5657730102539062]"
9,1,12,7.273842096328735,1.2123070160547893,0.40493415166022656,"[0.8373110294342041, 2.0298149585723877, 1.349902868270874, 1.1653740406036377, 0.8695101737976074, 1.0219290256500244]",10,9.369075536727905,1.5615125894546509,0.9461706572888673,"[2.725628137588501, 0.4056680202484131, 1.2535521984100342, 0.9572098255157471, 2.9652621746063232, 1.0617551803588867]"
6,1,8,8.022555112838745,2.0056387782096863,0.8480060024155252,"[0.813399076461792, 1.7738330364227295, 3.157737970352173, 2.277585029602051]",10,10.179545402526855,2.035909080505371,1.1740000997519533,"[0.9976980686187744, 2.277562141418457, 2.2370290756225586, 0.6696898937225342, 3.9975662231445312]"
0,1,2,0.6057240962982178,0.6057240962982178,0.0,[0.6057240962982178],10,5.348674058914185,1.069734811782837,0.6634168850289855,"[1.765620231628418, 1.6061339378356934, 1.4376661777496338, 0.34997081756591797, 0.18928289413452148]"
3,1,6,3.8414740562438965,1.2804913520812988,0.5490042110464598,"[0.7095749378204346, 1.1102640628814697, 2.021635055541992]",10,2.4389140605926514,0.6097285151481628,0.37907644193253054,"[0.27737998962402344, 0.66975998878479, 0.28563809394836426, 1.2061359882354736]"
3,1,8,5.654610633850098,1.4136526584625244,1.1625693412017533,"[0.3094637393951416, 0.5177960395812988, 3.245656967163086, 1.5816938877105713]",10,2.142648458480835,0.5356621146202087,0.5722946539205315,"[0.4055197238922119, 1.501744031906128, 0.045456886291503906, 0.1899278163909912]"
3,1,12,3.5378799438476562,0.5896466573079427,0.45156730656813315,"[0.26131510734558105, 0.4537971019744873, 1.5575439929962158, 0.5178897380828857, 0.5496680736541748, 0.19766592979431152]",10,3.4547102451324463,0.8636775612831116,0.38098411091274403,"[1.4937901496887207, 0.4936850070953369, 0.6535301208496094, 0.8137049674987793]"
0,1,2,0.3495807647705078,0.3495807647705078,0.0,[0.3495807647705078],10,4.789914131164551,0.9579828262329102,0.31363535802130366,"[0.767535924911499, 1.101759910583496, 1.3258459568023682, 0.44525837898254395, 1.1495139598846436]"
