cnd,test_eye,transient_counts,cdt,mdt,dtstd,key_press_list,tc_l,cdt_l,mdt_l,dtstd_l,key_press_list_l
9,-1,14,5.6803529262542725,0.811478989464896,0.6423066889986594,"[0.18175411224365234, 0.6216838359832764, 0.7901029586791992, 1.1416399478912354, 2.205753803253174, 0.4456791877746582, 0.29373908042907715]",20,8.927184820175171,1.2753121171678816,0.6024235052280755,"[1.045548915863037, 2.0773911476135254, 1.7256228923797607, 0.6215550899505615, 0.4058878421783447, 1.1175928115844727, 1.9335861206054688]"
3,-1,8,2.4793198108673096,0.6198299527168274,0.28777067617106744,"[0.9977800846099854, 0.27777671813964844, 0.4137899875640869, 0.7899730205535889]",20,8.121174812316895,1.3535291353861492,0.7464187559625247,"[1.0936038494110107, 2.093118190765381, 2.293745756149292, 0.7734658718109131, 0.17363190650939941, 1.6936092376708984]"
6,-1,4,2.9713428020477295,1.4856714010238647,0.4400707483291626,"[1.0456006526947021, 1.9257421493530273]",20,10.446231126785278,1.3057788908481598,0.6612367254775128,"[1.2866261005401611, 0.9900062084197998, 2.5016579627990723, 1.9093430042266846, 0.22979998588562012, 1.1015517711639404, 1.6534819602966309, 0.7737641334533691]"
3,-1,6,3.321552276611328,1.1071840922037761,0.21599089430553872,"[0.8059971332550049, 1.3018560409545898, 1.2136991024017334]",20,9.533796787261963,1.1917245984077454,0.4217456257523147,"[0.5814650058746338, 1.661614179611206, 1.7097959518432617, 0.5977730751037598, 1.3575749397277832, 1.3818087577819824, 0.8619098663330078, 1.3818550109863281]"
6,-1,8,2.351144552230835,0.5877861380577087,0.4356597517538286,"[0.725740909576416, 0.1337718963623047, 0.25383496284484863, 1.2377967834472656]",20,7.554114818572998,0.8393460909525553,0.5035963897318017,"[1.1012258529663086, 1.7169010639190674, 1.109370231628418, 1.2295589447021484, 0.3018331527709961, 0.13394403457641602, 0.6137888431549072, 1.0777180194854736, 0.2697746753692627]"
12,-1,10,5.219937324523926,1.0439874649047851,0.4093164858631133,"[0.8854629993438721, 1.189640998840332, 1.3497560024261475, 1.4697999954223633, 0.32527732849121094]",20,10.571550846099854,2.1143101692199706,0.8862176512575215,"[3.6215250492095947, 1.5173110961914062, 2.4617199897766113, 1.925553798675537, 1.045440912246704]"
12,-1,6,3.5211658477783203,1.1737219492594402,0.27462860659988714,"[1.1895232200622559, 0.8297498226165771, 1.5018928050994873]",20,8.534961938858032,1.2192802769797189,0.7537733413968157,"[0.3816819190979004, 0.5256068706512451, 0.8533592224121094, 2.5577099323272705, 0.9977190494537354, 2.1171979904174805, 1.101686954498291]"
9,-1,6,3.0408225059509277,1.0136075019836426,0.5882912691016577,"[0.18168878555297852, 1.4216067790985107, 1.4375269412994385]",20,9.485501050949097,1.185687631368637,0.5899666337526545,"[1.8054461479187012, 1.9336330890655518, 0.8137378692626953, 2.0053112506866455, 0.9095258712768555, 0.4138178825378418, 0.6226069927215576, 0.981421947479248]"
0,-1,2,1.0135726928710938,1.0135726928710938,0.0,[1.0135726928710938],20,9.148398160934448,1.143549770116806,1.115641678021674,"[0.3735990524291992, 0.4618198871612549, 0.10172581672668457, 3.8853113651275635, 1.0453970432281494, 1.3091440200805664, 0.6615638732910156, 1.3098371028900146]"
9,-1,12,5.1785876750946045,0.8630979458491007,0.4628310271636841,"[1.0137500762939453, 0.22977209091186523, 0.22979426383972168, 1.3095510005950928, 1.0619330406188965, 1.333787202835083]",20,9.717176675796509,1.2146470844745636,0.4481688018240209,"[1.517399787902832, 1.549590826034546, 1.7896051406860352, 1.2616467475891113, 1.4779131412506104, 1.0855958461761475, 0.5977480411529541, 0.43767714500427246]"
0,-1,2,0.11743712425231934,0.11743712425231934,0.0,[0.11743712425231934],20,8.225750923156738,1.3709584871927898,0.6656236687243157,"[1.0452899932861328, 0.3498067855834961, 2.429044008255005, 1.2214679718017578, 1.958585262298584, 1.2215569019317627]"
12,-1,10,4.8521599769592285,0.9704319953918457,0.48575626721152143,"[0.1414809226989746, 1.1417739391326904, 0.901515007019043, 1.6456310749053955, 1.021759033203125]",20,4.733727931976318,0.9467455863952636,0.5630883285507124,"[0.18962621688842773, 1.4779472351074219, 1.3989472389221191, 0.33367919921875, 1.3335280418395996]"
6,-1,8,1.82332181930542,0.455830454826355,0.3361265850539407,"[0.06183791160583496, 0.8937849998474121, 0.20589804649353027, 0.6618008613586426]",20,8.120097637176514,1.1600139481680733,0.5713250012018419,"[1.349181890487671, 1.1815741062164307, 0.42171525955200195, 0.6228899955749512, 1.8775911331176758, 0.685542106628418, 1.9816031455993652]"
3,-1,8,3.240757942199707,0.8101894855499268,0.5247003910054733,"[0.20584416389465332, 1.1912899017333984, 1.4537198543548584, 0.3899040222167969]",20,7.430064678192139,0.9287580847740173,0.384224858123726,"[0.7254378795623779, 1.0789940357208252, 1.62965989112854, 0.7655961513519287, 1.0534260272979736, 0.4853358268737793, 1.2778420448303223, 0.4137728214263916]"
0,-1,8,1.3361220359802246,0.33403050899505615,0.2373804128548987,"[0.14985990524291992, 0.14162707328796387, 0.3179209232330322, 0.7267141342163086]",20,6.177225589752197,1.029537598292033,0.4223617112163227,"[1.717094898223877, 0.8616540431976318, 0.5575771331787109, 0.7577548027038574, 0.7896487712860107, 1.4934959411621094]"
12,-1,8,3.9424240589141846,0.9856060147285461,0.4200264304952147,"[0.6773619651794434, 1.7096269130706787, 0.773658037185669, 0.7817771434783936]",20,7.201703310012817,1.2002838850021362,0.6404370377611506,"[0.7171339988708496, 1.3417232036590576, 1.0697739124298096, 2.5418341159820557, 0.8458118438720703, 0.6854262351989746]"
12,-1,4,1.995237112045288,0.997618556022644,0.7841304540634155,"[1.7817490100860596, 0.21348810195922852]",20,11.654317140579224,1.059483376416293,0.7431107965817773,"[0.7735719680786133, 1.5976250171661377, 1.1657099723815918, 2.6217050552368164, 0.11786794662475586, 0.7655999660491943, 1.3255059719085693, 1.0535850524902344, 1.869591236114502, 0.10977792739868164, 0.25377702713012695]"
0,-1,10,1.3483893871307373,0.26967787742614746,0.2391286078519808,"[0.10163521766662598, 0.07774209976196289, 0.22963809967041016, 0.20584583282470703, 0.7335281372070312]",20,8.6253502368927,1.43755837281545,0.5380618734405176,"[2.0615479946136475, 0.4777860641479492, 2.0297698974609375, 1.365535020828247, 1.18159818649292, 1.509113073348999]"
3,-1,10,4.301008939743042,0.8602017879486084,0.4565500399828484,"[0.9576351642608643, 0.4621109962463379, 1.6537039279937744, 0.8618988990783691, 0.3656599521636963]",20,6.865528583526611,1.1442547639211018,0.942523865496928,"[0.6375601291656494, 0.09370112419128418, 3.0293850898742676, 1.3255541324615479, 1.2456741333007812, 0.533653974533081]"
3,-1,8,3.9026811122894287,0.9756702780723572,0.5469593077637892,"[1.7334811687469482, 0.1899399757385254, 1.0376858711242676, 0.9415740966796875]",20,9.344932079315186,0.9344932079315186,0.6073748637554663,"[2.2614998817443848, 0.37371206283569336, 1.565598964691162, 0.19786477088928223, 0.8058180809020996, 0.8857369422912598, 1.3737437725067139, 0.34990477561950684, 0.5894789695739746, 0.9415738582611084]"
